title,rating,number_of_reviews,bought_in_last_month,total_price,listed_price,is_sponsored,is_couponed,buy_box_availability
"duracell coppertop aa batteries with power boost ingredients, 28 count (pack of 1) long-lasting alkaline double aa battery in re-closable pack for quick access and organized storage",4.8,16952,50000,25.66,25.66,0,no,1
"beats solo 4 - wireless bluetooth on-ear headphones, apple & android compatible, up to 50 hours of battery life - cloud pink",4.6,16222,10000,69.95,69.95,0,no,0
"amd ryzen 7 9800x3d 8-core, 16-thread desktop processor",4.8,2377,10000,476.5,476.5,0,no,1
"seagate portable 2tb external hard drive hdd — usb 3.0 for pc, mac, playstation, & xbox -1-year rescue service (stgx2000400)",4.6,262557,10000,79.99,79.99,0,no,1
"apple pencil (usb-c): device compatibility check required - pixel-perfect precision, tilt sensitivity, perfect for note-taking, drawing, and signing documents. charges and pairs with usb-c",4.6,6133,10000,69.95,69.95,0,no,0
"hp 910 cyan, magenta, yellow ink cartridges | works with hp officejet 8010, 8020 series, hp officejet pro 8020, 8030 series | eligible for instant ink | 3yn97an, 3 count (pack of 1)",4.6,18532,30000,69.95,69.95,0,no,0
"kodak 10.1 inch wifi digital picture frame,1280x800 hd ips touch screen, electronic smart photo frame with 32 gb memory, auto-rotate, instantly share photos/videos anywhere",4.1,264,200,85.99,85.99,1,>=10$,1
"philips tat1108 wireless earbuds,true wireless headphones,powerful bass with 6 mm driver,clear call with ai mic,15-hour battery life,bluetooth v5.3,ipx4 rating,ergonomic design for comfort,black",3.9,6335,500,29.99,32.72,1,>=10$,1
"sanus height adjustable speaker stand for sonos era 300™ - 17"" height adjustment sonos stand includes carpet spikes & rubber pads - easy diy install comes w/all hardware - white",4.4,45,200,179.99,179.99,1,no,1
"hp 910xl black high-yield ink cartridge for hp printers | works with printer series: officejet 8010, 8020; officejet pro 8020, 8030 | eligible for instant ink | 3yl65an",4.6,24117,20000,52.89,71.87,0,no,1
"apple ipad air 11-inch with m3 chip built for apple intelligence, liquid retina display, 128gb, 12mp front/back camera, wi-fi 6e, touch id, all-day battery life — space gray",4.8,1553,6000,69.95,69.95,0,no,0
"amazon basics 8-pack 9v alkaline batteries, 5-year shelf life - for smoke/co detector, electronics & audio",4.7,231583,60000,12.69,12.69,0,no,1
"vizio 40-inch full hd 1080p smart tv with dts virtual: x, alexa compatibility, google cast built-in, bluetooth headphone capable, (vfd40m-08 new)",4.1,4856,10000,138.0,169.99,0,no,1
"hp original 910 cyan, magenta, yellow / 910xl black ink cartridges (4-pack) | works officejet 8010, 8020 series officejet pro 8020, 8030 series | eligible for instant ink | 3jb41an",4.6,6931,20000,106.89,106.89,0,no,1
"aquaphor baby healing ointment advanced therapy skin protectant for chapped or dry skin, drool rash and diaper rash ointment, 14 oz jar",4.8,54759,40000,69.95,69.95,0,no,0
"logitech brio 101 full hd 1080p webcam for meetings, streaming, desktop, laptop, pc - built-in mic, shutter, usb-a, teams, zoom - black",4.4,24693,10000,39.59,39.59,0,no,1
"apple 2024 macbook pro laptop with m4 pro, 12-core cpu, 16-core gpu: built for apple intelligence, 14.2-inch liquid retina xdr display, 24gb unified memory, 512gb ssd storage; space black",4.8,1212,2000,69.95,69.95,0,no,0
roku streaming stick plus 2025 - 4k & hdr roku streaming device for tv with voice remote - free & live tv,4.5,744,10000,69.95,69.95,0,no,0
